X,Y,OBJECTID,GLOBALID,REQUESTID,REQUESTTYPE,REQUESTDATE,STATUS,STREETSEGID,COMMENTS,USERTYPE
-77.033644082211325,38.898789585266222,637,{090FF187-CF56-4BA2-AF6C-B729B29EF506},637,Other Biking Issue,2015-07-01T17:30:55.000Z,Unassigned,859,"When the White House complex is closely for security, it is difficult for people on bikes to access the 15th St cycle track. Adding 2 short cycle tracks on H St NW and 15th St NW would help immensely",Biker
-76.98485614418594,38.8853627901116,2858,{89AC87BA-3A85-47DF-BF1A-460B0169817B},2858,Double parking,2015-07-16T13:25:38.000Z,Unassigned,7300,"In an area already difficult to have two cars pass, cars are often double parked here during school hours.",Car Driver
-77.020057626519048,38.966141628335997,3129,{ADFA2988-B46E-4AC7-9BEE-FFC65752C268},3129,Blocking the crosswalk,2015-07-17T00:44:26.000Z,Unassigned,3338,Drivers regularly block the crosswalk on the East and West sides of this intersection.,Pedestrian
-76.959640759386261,38.865352169685934,4928,{7D235C9E-9717-4A2E-A5A0-2FF6F2EC91AA},4928,Long wait to cross,2015-08-04T12:27:15.000Z,Unassigned,12137,"Intersection at Branch Ave SE and U St SE is a very difficult intersection for pedestrians to cross, especially for those riding the 36 bus that stops here. Speeding cars, poorly designed/marked crosswalk, and trees block the view  for all.",Pedestrian
-77.025992497762203,38.892139766755498,6794,{39F82E92-FC57-42C6-AC14-7016DC74B129},6794,Red light running,2015-09-08T16:07:31.000Z,Unassigned,7790,"Museum of Nat. Hist. (10th and Constitution Ave, NW)  drivers do not see the traffic light. Heavy pedestrian traffic during summer. Would love to see this intersection painted with heavy stripes just like at the National Zoo.",Pedestrian
-76.984212888751671,38.885362768908834,2859,{25879ACF-60BD-4C17-B9EE-33174681E091},2859,Double parking,2015-07-16T13:25:53.000Z,Unassigned,7300,,Car Driver
-77.038321560099902,38.907870308303856,638,{7FA1382E-C200-4EFA-B0A9-670219273123},638,Red light running,2015-07-01T17:31:02.000Z,Unassigned,6931,"pedestrians going north crossing Massachusetts are often cut off by cars making a right turn on red from 17th to Mass, even though pedestrians have a walk signal and the cars will later have their own green turn arrow.",Pedestrian
-77.022449680266931,38.967938103526237,3130,{2560FB38-E347-4A3A-B9F3-68F5D27904BB},3130,Failure to stop for pedestrians,2015-07-17T00:47:05.000Z,Unassigned,1460,This intersection is dangerous and would benefit from a 4-way stop sign to increase visibility and make sure that pedestrians including seniors and children can cross the intersection more easily.,Pedestrian
-76.974178519913963,38.942780577754242,6795,{86645797-CC0C-4F87-86B1-E106CFA31844},6795,Stop sign running,2015-09-08T16:36:03.000Z,Unassigned,11193,Cars going eastbound on Varnum from 22nd often dont even slow down at the stop sign let alone pretend to stop.,Pedestrian
-76.956721334597191,38.862773764570697,4945,{9AD12223-81AB-40D7-A3E1-F5EDDA72AA54},4945,Poor visibility,2015-08-04T12:31:09.000Z,Unassigned,5188,"Crosswalk need better  markings for both pedestrians and car drivers. Also, pedestrian walk signals are not timed correctly and some face the wrong direction. Can be a tough intersection to cross as 4 roads at odd angles are involved.",Pedestrian
-77.009072728455635,38.897479538036912,2860,{79D58DCD-B35F-4FCD-A6E6-FFA6FBC4D838},2860,Failure to stop for pedestrians,2015-07-16T13:36:03.000Z,Unassigned,261,The right turn from Massachusetts onto North Capitol has unsafe pedestrian/car interactions every light cycle. There needs to be a red arrow for right turners. Its dangerous.,Pedestrian
-77.022448636993929,38.962014761415162,3116,{F2BF301A-1996-4623-B932-167256E1EF12},3116,Other Walking Issue,2015-07-17T00:52:08.000Z,Unassigned,8464,The Southwest portion of this intersection and continuing along Oneida has no sidewalk making it dangerous to walk.,Pedestrian
-77.019219977374917,38.942443327185245,639,{07C204EB-C30D-4ECB-BB68-7E02F3A0CD9F},639,Other Biking Issue,2015-07-01T17:31:57.000Z,Unassigned,5877,"Nearly every block of the 5th St bike lane between the circle and Rock Creek Church Road has a giant run running through it, numerous potholes, debris from a lack of street sweeping on 5th Ave. Cyclist have to weave in and out of traffic lane.",Biker
-77.077097578838419,38.939010605466031,6796,{CB983ED0-1527-4DC7-A755-ED1705DD0FD9},6796,Speeding,2015-09-08T16:36:53.000Z,Unassigned,3538,especially at beginning and end of school day,Pedestrian
-76.979853003048177,38.93617214363374,4258,{890BE173-7466-4B24-92E9-A778F03F9FD7},4258,Speeding,2015-07-31T13:26:24.000Z,Unassigned,12111,18th street near perry street school is the location of frequent speeding/reckless driving. School children play on the corner while waiting for the bus while cars often speed by. There should be a speed camera or other enforcement here.,Car Driver
-76.980768606321504,38.882711622473749,2861,{B1B9C4D1-CD01-478C-886F-E31B7162565F},2861,Failure to stop for pedestrians,2015-07-16T13:37:04.000Z,Unassigned,687,This intersection needs a stop sign. Cars never stop for pedestrians.,Pedestrian
-77.02716313832191,38.941875898092157,640,{CA7BE27C-6094-4201-B92F-33AD95380951},640,Speeding,2015-07-01T17:35:30.000Z,Unassigned,7197,"Drivers routinely floor is to go down this long block that has wide lanes and minimal street parking. Its difficult to parallel park, pull in or out of the local business driveways, or cross as a pedestrian. Needs a speed hump crosswalk.",Car Driver
